TIME,V(OUT),V(IN1),V(IN2),V(IN3)
0.00000000e+00,6.99997203e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e-13,7.01556081e-01,0.00000000e+00,7.00000000e-03,7.00000000e-03
2.00000000e-13,7.03763169e-01,0.00000000e+00,1.40000000e-02,1.40000000e-02
3.00000000e-13,7.06054598e-01,0.00000000e+00,2.10000000e-02,2.10000000e-02
4.00000000e-13,7.08327765e-01,0.00000000e+00,2.80000000e-02,2.80000000e-02
5.00000000e-13,7.10600932e-01,0.00000000e+00,3.50000000e-02,3.50000000e-02
6.00000000e-13,7.12475917e-01,0.00000000e+00,4.20000000e-02,4.20000000e-02
7.00000000e-13,7.14301688e-01,0.00000000e+00,4.90000000e-02,4.90000000e-02
8.00000000e-13,7.15972020e-01,0.00000000e+00,5.60000000e-02,5.60000000e-02
9.00000000e-13,7.17326763e-01,0.00000000e+00,6.30000000e-02,6.30000000e-02
1.00000000e-12,7.18681505e-01,0.00000000e+00,7.00000000e-02,7.00000000e-02
1.10000000e-12,7.19778280e-01,0.00000000e+00,7.70000000e-02,7.70000000e-02
1.20000000e-12,7.20798000e-01,0.00000000e+00,8.40000000e-02,8.40000000e-02
1.30000000e-12,7.21754925e-01,0.00000000e+00,9.10000000e-02,9.10000000e-02
1.40000000e-12,7.22475620e-01,0.00000000e+00,9.80000000e-02,9.80000000e-02
1.50000000e-12,7.23196314e-01,0.00000000e+00,1.05000000e-01,1.05000000e-01
1.60000000e-12,7.23917009e-01,0.00000000e+00,1.12000000e-01,1.12000000e-01
1.70000000e-12,7.24637704e-01,0.00000000e+00,1.19000000e-01,1.19000000e-01
1.80000000e-12,7.25334972e-01,0.00000000e+00,1.26000000e-01,1.26000000e-01
1.90000000e-12,7.25795361e-01,0.00000000e+00,1.33000000e-01,1.33000000e-01
2.00000000e-12,7.26255751e-01,0.00000000e+00,1.40000000e-01,1.40000000e-01
2.10000000e-12,7.26716141e-01,0.00000000e+00,1.47000000e-01,1.47000000e-01
2.20000000e-12,7.27176530e-01,0.00000000e+00,1.54000000e-01,1.54000000e-01
2.30000000e-12,7.27636920e-01,0.00000000e+00,1.61000000e-01,1.61000000e-01
2.40000000e-12,7.28097309e-01,0.00000000e+00,1.68000000e-01,1.68000000e-01
2.50000000e-12,7.28557699e-01,0.00000000e+00,1.75000000e-01,1.75000000e-01
2.60000000e-12,7.29018089e-01,0.00000000e+00,1.82000000e-01,1.82000000e-01
2.70000000e-12,7.29478478e-01,0.00000000e+00,1.89000000e-01,1.89000000e-01
2.80000000e-12,7.29938868e-01,0.00000000e+00,1.96000000e-01,1.96000000e-01
2.90000000e-12,7.30317962e-01,0.00000000e+00,2.03000000e-01,2.03000000e-01
3.00000000e-12,7.30684996e-01,0.00000000e+00,2.10000000e-01,2.10000000e-01
3.10000000e-12,7.31053741e-01,0.00000000e+00,2.17000000e-01,2.17000000e-01
3.19846155e-12,7.31416813e-01,0.00000000e+00,2.23892309e-01,2.23892309e-01
3.30000000e-12,7.31816690e-01,0.00000000e+00,2.31000000e-01,2.31000000e-01
3.40000000e-12,7.32210508e-01,0.00000000e+00,2.38000000e-01,2.38000000e-01
3.50000000e-12,7.32604326e-01,0.00000000e+00,2.45000000e-01,2.45000000e-01
3.60000000e-12,7.32998144e-01,0.00000000e+00,2.52000000e-01,2.52000000e-01
3.70000000e-12,7.33391961e-01,0.00000000e+00,2.59000000e-01,2.59000000e-01
3.80000000e-12,7.33834427e-01,0.00000000e+00,2.66000000e-01,2.66000000e-01
3.90000000e-12,7.34282144e-01,0.00000000e+00,2.73000000e-01,2.73000000e-01
4.00000000e-12,7.34729861e-01,0.00000000e+00,2.80000000e-01,2.80000000e-01
4.10000000e-12,7.35177578e-01,0.00000000e+00,2.87000000e-01,2.87000000e-01
4.20000000e-12,7.35656533e-01,0.00000000e+00,2.94000000e-01,2.94000000e-01
4.30000000e-12,7.36168996e-01,0.00000000e+00,3.01000000e-01,3.01000000e-01
4.40000000e-12,7.36681459e-01,0.00000000e+00,3.08000000e-01,3.08000000e-01
4.50000000e-12,7.37193922e-01,0.00000000e+00,3.15000000e-01,3.15000000e-01
4.60000000e-12,7.37768485e-01,0.00000000e+00,3.22000000e-01,3.22000000e-01
4.70000000e-12,7.38347475e-01,0.00000000e+00,3.29000000e-01,3.29000000e-01
4.80318861e-12,7.38944927e-01,0.00000000e+00,3.36223203e-01,3.36223203e-01
4.90000000e-12,7.39564533e-01,0.00000000e+00,3.43000000e-01,3.43000000e-01
5.00000000e-12,7.40204546e-01,0.00000000e+00,3.50000000e-01,3.50000000e-01
5.10000000e-12,7.40838258e-01,0.00000000e+00,3.57000000e-01,3.57000000e-01
5.20000000e-12,7.41457218e-01,0.00000000e+00,3.64000000e-01,3.64000000e-01
5.30000000e-12,7.42076178e-01,0.00000000e+00,3.71000000e-01,3.71000000e-01
5.40000000e-12,7.42323532e-01,0.00000000e+00,3.78000000e-01,3.78000000e-01
5.50000000e-12,7.42353135e-01,0.00000000e+00,3.85000000e-01,3.85000000e-01
5.60382628e-12,7.42383872e-01,0.00000000e+00,3.92267840e-01,3.92267840e-01
5.70000000e-12,7.41036782e-01,0.00000000e+00,3.99000000e-01,3.99000000e-01
5.80000000e-12,7.39636099e-01,0.00000000e+00,4.06000000e-01,4.06000000e-01
5.90000000e-12,7.37242716e-01,0.00000000e+00,4.13000000e-01,4.13000000e-01
6.00000000e-12,7.34528962e-01,0.00000000e+00,4.20000000e-01,4.20000000e-01
6.10000000e-12,7.31159869e-01,0.00000000e+00,4.27000000e-01,4.27000000e-01
