TIME,V(OUT),V(IN1),V(IN2)
0.00000000e+00,6.99999927e-01,0.00000000e+00,0.00000000e+00
1.00000000e-13,7.04010405e-01,7.00000000e-03,0.00000000e+00
2.00000000e-13,7.06685083e-01,1.40000000e-02,0.00000000e+00
3.00000000e-13,7.08556493e-01,2.10000000e-02,0.00000000e+00
4.00000000e-13,7.09781545e-01,2.80000000e-02,0.00000000e+00
5.00000000e-13,7.11006597e-01,3.50000000e-02,0.00000000e+00
6.00000000e-13,7.11456191e-01,4.20000000e-02,0.00000000e+00
7.00000000e-13,7.11809941e-01,4.90000000e-02,0.00000000e+00
8.00000000e-13,7.12163692e-01,5.60000000e-02,0.00000000e+00
9.00000000e-13,7.12517442e-01,6.30000000e-02,0.00000000e+00
1.00000000e-12,7.12871193e-01,7.00000000e-02,0.00000000e+00
1.10000000e-12,7.13003910e-01,7.70000000e-02,0.00000000e+00
1.20000000e-12,7.13070605e-01,8.40000000e-02,0.00000000e+00
1.30000000e-12,7.13137299e-01,9.10000000e-02,0.00000000e+00
1.40000000e-12,7.13203993e-01,9.80000000e-02,0.00000000e+00
1.50000000e-12,7.13270688e-01,1.05000000e-01,0.00000000e+00
1.60000000e-12,7.13340331e-01,1.12000000e-01,0.00000000e+00
1.70000000e-12,7.13411562e-01,1.19000000e-01,0.00000000e+00
1.80000000e-12,7.13482792e-01,1.26000000e-01,0.00000000e+00
1.90000000e-12,7.13554023e-01,1.33000000e-01,0.00000000e+00
2.00000000e-12,7.13625254e-01,1.40000000e-01,0.00000000e+00
2.10000000e-12,7.13700645e-01,1.47000000e-01,0.00000000e+00
2.20000000e-12,7.13779724e-01,1.54000000e-01,0.00000000e+00
2.30000000e-12,7.13858804e-01,1.61000000e-01,0.00000000e+00
2.40000000e-12,7.13937884e-01,1.68000000e-01,0.00000000e+00
2.50000000e-12,7.14016963e-01,1.75000000e-01,0.00000000e+00
2.60000000e-12,7.14101765e-01,1.82000000e-01,0.00000000e+00
2.70000000e-12,7.14194800e-01,1.89000000e-01,0.00000000e+00
2.80000000e-12,7.14287836e-01,1.96000000e-01,0.00000000e+00
2.90000000e-12,7.14380871e-01,2.03000000e-01,0.00000000e+00
3.00000000e-12,7.14473906e-01,2.10000000e-01,0.00000000e+00
3.10000000e-12,7.14566942e-01,2.17000000e-01,0.00000000e+00
3.20000000e-12,7.14659977e-01,2.24000000e-01,0.00000000e+00
3.30000000e-12,7.14753013e-01,2.31000000e-01,0.00000000e+00
3.40000000e-12,7.14846048e-01,2.38000000e-01,0.00000000e+00
3.50000000e-12,7.14939083e-01,2.45000000e-01,0.00000000e+00
3.60000000e-12,7.15033874e-01,2.52000000e-01,0.00000000e+00
3.70000000e-12,7.15137231e-01,2.59000000e-01,0.00000000e+00
3.80000000e-12,7.15240588e-01,2.66000000e-01,0.00000000e+00
3.90000000e-12,7.15343945e-01,2.73000000e-01,0.00000000e+00
4.00000000e-12,7.15447302e-01,2.80000000e-01,0.00000000e+00
4.10000000e-12,7.15550659e-01,2.87000000e-01,0.00000000e+00
4.20000000e-12,7.15654016e-01,2.94000000e-01,0.00000000e+00
4.30000000e-12,7.15757373e-01,3.01000000e-01,0.00000000e+00
4.40000000e-12,7.15860730e-01,3.08000000e-01,0.00000000e+00
4.50000000e-12,7.15964087e-01,3.15000000e-01,0.00000000e+00
4.60000000e-12,7.16067444e-01,3.22000000e-01,0.00000000e+00
4.70000000e-12,7.16170801e-01,3.29000000e-01,0.00000000e+00
4.80000000e-12,7.16274158e-01,3.36000000e-01,0.00000000e+00
4.90000000e-12,7.16377515e-01,3.43000000e-01,0.00000000e+00
5.00000000e-12,7.16480872e-01,3.50000000e-01,0.00000000e+00
5.10000000e-12,7.16584229e-01,3.57000000e-01,0.00000000e+00
5.20000000e-12,7.16687586e-01,3.64000000e-01,0.00000000e+00
5.30000000e-12,7.16790943e-01,3.71000000e-01,0.00000000e+00
5.40000000e-12,7.16894300e-01,3.78000000e-01,0.00000000e+00
5.50000000e-12,7.16997657e-01,3.85000000e-01,0.00000000e+00
5.60000000e-12,7.17101014e-01,3.92000000e-01,0.00000000e+00
5.70000000e-12,7.17001980e-01,3.99000000e-01,0.00000000e+00
5.80000000e-12,7.16812015e-01,4.06000000e-01,0.00000000e+00
5.90000000e-12,7.16622050e-01,4.13000000e-01,0.00000000e+00
6.00000000e-12,7.16432086e-01,4.20000000e-01,0.00000000e+00
6.10000000e-12,7.16242121e-01,4.27000000e-01,0.00000000e+00
6.20000000e-12,7.16052157e-01,4.34000000e-01,0.00000000e+00
6.30000000e-12,7.15862192e-01,4.41000000e-01,0.00000000e+00
6.40000000e-12,7.15672228e-01,4.48000000e-01,0.00000000e+00
6.50000000e-12,7.15482263e-01,4.55000000e-01,0.00000000e+00
6.60000000e-12,7.15292299e-01,4.62000000e-01,0.00000000e+00
6.70000000e-12,7.15102334e-01,4.69000000e-01,0.00000000e+00
6.80000000e-12,7.14912370e-01,4.76000000e-01,0.00000000e+00
6.90000000e-12,7.14722405e-01,4.83000000e-01,0.00000000e+00
7.00000000e-12,7.14532441e-01,4.90000000e-01,0.00000000e+00
7.10000000e-12,7.14342476e-01,4.97000000e-01,0.00000000e+00
7.20000000e-12,7.14152511e-01,5.04000000e-01,0.00000000e+00
7.30000000e-12,7.13962547e-01,5.11000000e-01,0.00000000e+00
7.40000000e-12,7.13772582e-01,5.18000000e-01,0.00000000e+00
7.50000000e-12,7.13582618e-01,5.25000000e-01,0.00000000e+00
