TIME,V(OUT),V(IN1),V(IN2),V(IN3)
0.00000000e+00,6.99999971e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e-13,6.99999971e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.00000000e-13,6.99999971e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.00000000e-13,6.99999971e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.00000000e-13,6.99999971e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.00000000e-13,6.99999971e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.00000000e-13,6.99999971e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.00000000e-13,6.99999971e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
8.00000000e-13,6.99999971e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
9.00000000e-13,6.99999971e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e-12,6.99999971e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.10000000e-12,6.99999971e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.20000000e-12,6.99999971e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.30000000e-12,6.99999971e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.40000000e-12,6.99999971e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.50000000e-12,6.99999971e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.60000000e-12,6.99999971e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.70000000e-12,6.99999971e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.80000000e-12,6.99999971e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.90000000e-12,6.99999971e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.00000000e-12,6.99999971e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.10000000e-12,6.99999971e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.20000000e-12,6.99999971e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.30000000e-12,6.99999971e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
